match_id,inning,total_runs,is_wicket,over,team1,team2,toss_winner,venue,batting_strength,bowling_strength,target_score
729279,1,-0.07943892044907282,0.03021989426077607,0.16177922310338594,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",1.0186383891560833,0.8385402325786546,-0.07943892044907282
729281,1,-0.6408376734254897,0.03021989426077607,0.16177922310338594,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Sharjah Cricket Stadium,-0.7322650901106743,-1.635659995621107,-0.6408376734254897
729283,1,1.2304915031625665,0.03021989426077607,0.16177922310338594,Chennai Super Kings,Punjab Kings,Chennai Super Kings,"Zayed Cricket Stadium, Abu Dhabi",1.1548717882113313,-1.2848415563679223,1.2304915031625665
729285,1,-1.0151035087431008,0.03021989426077607,0.16177922310338594,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",0.0041424927857442164,0.7628572148842713,-1.0151035087431008
729287,1,-1.5765022617195177,0.03021989426077607,0.16177922310338594,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Dubai International Cricket Stadium,-1.522418804631111,0.9877133236792895,-1.5765022617195177
729289,1,0.014127538380329992,0.03021989426077607,0.16177922310338594,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Dubai International Cricket Stadium,0.8741460466168111,-0.8199096937833075,0.014127538380329992
729291,1,0.7938480286253534,0.03021989426077607,0.16177922310338594,Rajasthan Royals,Punjab Kings,Punjab Kings,Sharjah Cricket Stadium,0.8008378082715636,-1.2848415563679223,0.7938480286253534
729293,1,0.3572045540881403,0.03021989426077607,0.16177922310338594,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,"Zayed Cricket Stadium, Abu Dhabi",1.1548717882113313,-0.8199096937833075,0.3572045540881403
729295,1,0.8562256678449552,0.03021989426077607,0.16177922310338594,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sharjah Cricket Stadium,-1.1826083353322794,-0.059646599420722396,0.8562256678449552
729297,1,-0.7967817714744944,0.03021989426077607,0.16177922310338594,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Dubai International Cricket Stadium,0.8008378082715636,1.1283599274444278,-0.7967817714744944
729299,1,-0.484893575376485,0.03021989426077607,0.16177922310338594,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Sharjah Cricket Stadium,-1.522418804631111,0.8385402325786546,-0.484893575376485
729301,1,0.5755262913567468,0.03021989426077607,0.16177922310338594,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Dubai International Cricket Stadium,0.0041424927857442164,-0.8199096937833075,0.5755262913567468
729303,1,-0.7655929518646933,0.03021989426077607,0.16177922310338594,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Dubai International Cricket Stadium,1.1548717882113313,0.9877133236792895,-0.7655929518646933
729305,1,-2.9799991441605598,0.03021989426077607,-4.5748049827310915,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",0.8008378082715636,-1.635659995621107,-2.9799991441605598
729307,1,-1.0462923283529018,0.03021989426077607,0.16177922310338594,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,"Zayed Cricket Stadium, Abu Dhabi",0.8741460466168111,-1.2848415563679223,-1.0462923283529018
729309,1,-1.2646140656215084,0.03021989426077607,0.16177922310338594,Delhi Capitals,Mumbai Indians,Mumbai Indians,Sharjah Cricket Stadium,-0.7322650901106743,0.9877133236792895,-1.2646140656215084
729311,1,-0.6408376734254897,0.03021989426077607,0.16177922310338594,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Sharjah Cricket Stadium,0.0041424927857442164,1.1283599274444278,-0.6408376734254897
729313,1,-1.2958028852313093,0.03021989426077607,0.16177922310338594,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,Dubai International Cricket Stadium,-1.1826083353322794,-1.635659995621107,-1.2958028852313093
729315,1,-0.4225159361568831,0.03021989426077607,0.16177922310338594,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,"Zayed Cricket Stadium, Abu Dhabi",0.8741460466168111,0.7628572148842713,-0.4225159361568831
729317,1,0.20126045603913562,0.03021989426077607,0.16177922310338594,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Dubai International Cricket Stadium,1.0186383891560833,-0.059646599420722396,0.20126045603913562
733971,1,-0.5472712145960869,0.03021989426077607,-2.6801713003973004,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,"JSCA International Stadium Complex, Ranchi",1.1548717882113313,0.8385402325786546,-0.5472712145960869
